,FA anterior thalamic radiation l,FA anterior thalamic radiation r,FA corticospinal tract l,FA corticospinal tract r,FA cingulum,FA cingulum,FA cingulum,FA cingulum,FA forceps major,FA forceps minor,FA inferior fronto-occipital fasciculus l,FA inferior fronto-occipital fasciculus r,FA inferior longitudinal fasciculus l,FA inferior longitudinal fasciculus r,FA superior longitudinal fasciculus l,FA superior longitudinal fasciculus r,FA uncinate fasciculus l,FA uncinate fasciculus r,FA superior longitudinal fasciculus,FA superior longitudinal fasciculus,0,AD anterior thalamic radiation l,AD anterior thalamic radiation r,AD corticospinal tract l,AD corticospinal tract r,AD cingulum,AD cingulum,AD cingulum,AD cingulum,AD forceps major,AD forceps minor,AD inferior fronto-occipital fasciculus l,AD inferior fronto-occipital fasciculus r,AD inferior longitudinal fasciculus l,AD inferior longitudinal fasciculus r,AD superior longitudinal fasciculus l,AD superior longitudinal fasciculus r,AD uncinate fasciculus l,AD uncinate fasciculus r,AD superior longitudinal fasciculus,AD superior longitudinal fasciculus,0,RD anterior thalamic radiation l,RD anterior thalamic radiation r,RD corticospinal tract l,RD corticospinal tract r,RD cingulum,RD cingulum,RD cingulum,RD cingulum,RD forceps major,RD forceps minor,RD inferior fronto-occipital fasciculus l,RD inferior fronto-occipital fasciculus r,RD inferior longitudinal fasciculus l,RD inferior longitudinal fasciculus r,RD superior longitudinal fasciculus l,RD superior longitudinal fasciculus r,RD uncinate fasciculus l,RD uncinate fasciculus r,RD superior longitudinal fasciculus,RD superior longitudinal fasciculus,0,MD anterior thalamic radiation l,MD anterior thalamic radiation r,MD corticospinal tract l,MD corticospinal tract r,MD cingulum,MD cingulum,MD cingulum,MD cingulum,MD forceps major,MD forceps minor,MD inferior fronto-occipital fasciculus l,MD inferior fronto-occipital fasciculus r,MD inferior longitudinal fasciculus l,MD inferior longitudinal fasciculus r,MD superior longitudinal fasciculus l,MD superior longitudinal fasciculus r,MD uncinate fasciculus l,MD uncinate fasciculus r,MD superior longitudinal fasciculus,MD superior longitudinal fasciculus
0,0.390685529,0.363342315,0.551845431,0.559298277,0.571850061,0.541091442,0.365267932,0.396327913,0.57828474,0.526296079,0.490998268,0.48625955,0.474382699,0.496850014,0.517328262,0.490181684,0.463515341,0.401060879,0.322890013,0.494006336,0,1062.241699,1415.642944,1438.289307,1174.934204,1288.132202,1591.329102,1768.984253,2165.601563,1311.524658,1143.445923,1128.573242,1269.180054,1156.349609,1272.676514,1156.13855,1148.44751,1255.997314,1145.857178,1464.253662,1597.16626,0,696.2324219,780.6918945,760.4188843,741.5263672,597.9506836,801.6460571,1284.270996,1280.936035,748.8537598,780.2873535,712.5496826,754.3156738,705.4980469,752.5585938,711.1834106,623.9544067,825.8759766,756.9073486,667.9197998,620.1188965,0,799.4858398,920.8759155,839.833374,834.4036255,737.5424805,1026.106934,1466.216797,1638.69165,842.4238281,875.2700806,836.7333374,861.739502,801.8379517,855.4272461,848.1620483,778.3459473,1194.631104,833.607666,856.953125,885.7334595
0,0.377981365,0.33539331,0.543986082,0.597102225,0.509858727,0.518566668,0.337599307,0.393593758,0.362306386,0.50901401,0.435974449,0.412591457,0.463969588,0.48544547,0.441981345,0.433299392,0.471952528,0.448609233,0.529541075,0.493005574,0,1119.886353,1180.13623,1387.437988,1425.359375,1009.729004,1084.831421,1110.161621,1286.80835,1196.835938,1145.135254,1277.578979,1306.365845,1282.748779,1289.265137,1177.848389,1152.627686,1324.03125,1330.580566,1402.620728,1573.073975,0,686.7717896,726.644165,573.0593262,549.6468506,698.3416748,728.2062988,695.0888062,671.9319458,689.6062622,756.248291,664.3973999,662.9505615,637.640625,629.4206543,629.213623,585.0367432,837.1078491,837.2709961,526.8383789,530.0374756,0,831.6691284,870.6342773,803.2265625,808.869873,835.5823975,855.7683716,847.9171143,875.22052,834.2593994,864.7637939,849.0253296,861.9887695,848.0953979,826.9866333,803.7391357,767.5595703,966.1425781,933.1395264,826.4691772,753.7999268
0,0.343777388,0.344712794,0.525081038,0.549780369,0.450705737,0.51483804,0.402624935,0.378458858,0.49794656,0.503059506,0.414689481,0.429748565,0.449481726,0.495761693,0.433023959,0.485302806,0.454447806,0.421604574,0.488826841,0.471896738,0,1094.664185,1193.347656,1402.372314,1337.521484,1210.982178,1098.940308,1208.036865,1299.667725,1395.332886,1230.775146,1256.453857,1216.868774,1299.756104,1332.487549,1185.614746,1179.242676,1376.804688,1375.125854,1452.272217,1651.97168,0,660.3786011,686.4385986,613.5778809,567.0147705,697.3829346,718.6282349,714.2897949,715.3284302,633.1327515,662.7034912,662.3916016,656.3989258,690.192688,685.4284668,646.9336548,590.987793,838.6026001,812.1765137,630.9146729,637.541626,0,820.060791,837.3896484,806.6425781,795.21875,846.7580566,851.8734131,905.2045898,890.817688,879.6317139,869.1625977,861.7329712,866.0570068,851.5784302,861.4231567,809.2376709,795.2835083,975.8977661,907.8800659,811.9707031,833.937561
0,0.401197553,0.367675424,0.561952949,0.582019866,0.493857771,0.44738102,0.22502321,0.279284447,0.483949631,0.51123035,0.450131625,0.421750844,0.442216754,0.447134405,0.45128566,0.445888758,0.43834123,0.499015093,0.524689674,0.487416387,0,1114.914429,1096.545166,1409.44458,1364.05249,1002.752747,1066.785645,1319.480591,1123.426025,1237.814087,1157.908936,1196.427856,1224.729858,1173.998169,1126.489624,1139.309204,1124.163818,1122.817017,1121.662964,1325.612183,1320.983154,0,605.4886475,631.3081055,563.6949463,541.9222412,673.2287598,682.3529053,774.5609131,714.4368896,643.0942383,594.6842041,628.5964355,636.1765137,664.6087646,669.848999,616.3470459,618.8214111,780.9014893,793.8799438,577.9727783,552.3508301,0,784.5988159,802.9317017,783.1640015,797.185791,802.7686768,803.5836182,881.3317261,842.300415,833.3411865,813.6885376,824.1685181,821.7955322,815.8864746,826.085083,765.6170654,767.4569702,897.9646606,921.2277832,801.3587036,774.8851318
0,0.422863007,0.406158864,0.520505786,0.525541365,0.538908243,0.534740627,0.345593363,0.386793762,0.532055914,0.615539074,0.487894744,0.468384802,0.461294234,0.506150782,0.456101954,0.509475112,0.457693517,0.442763388,0.351068974,0.454614043,0,1133.225098,1117.12439,1343.317749,1272.872192,1037.617065,1111.13916,2048.95752,2520.766602,1234.332764,1290.267456,1203.744751,1186.21875,1251.237427,1195.890137,1114.172852,1121.990723,1208.164673,1320.650024,1502.784546,1547.238281,0,565.8908691,607.5220947,555.6134033,497.3679199,629.4060059,665.9334717,802.1676025,740.3495483,607.1481934,604.5535889,638.8739014,567.8343506,694.1079102,647.0371094,588.5971069,522.9090576,851.609314,743.6512451,593.3531494,508.5199585,0,742.267395,772.1118164,789.5344238,725.0088501,746.0992432,732.6487427,941.3696289,961.0858154,837.1165161,776.5847778,855.1357422,799.3649292,857.9445801,830.9157715,746.2000732,699.282959,966.8808594,859.4282837,809.8610229,742.9677734
0,0.367096186,0.344878554,0.52807188,0.542191267,0.514113247,0.49717018,0.336009264,0.384564698,0.412542194,0.507192612,0.427050024,0.436113149,0.412231028,0.467212319,0.450002849,0.445850164,0.399680197,0.354568362,0.550441146,0.488858223,0,1121.347534,1191.060791,1403.521484,1304.677368,1305.011475,1076.067383,1145.117676,1147.468872,1137.341919,1253.301514,1219.551025,1236.618164,1233.179321,1292.416748,1192.550781,1153.20105,1204.107544,1247.468018,1451.327515,1671.291504,0,650.1483765,676.2865601,584.9476929,550.7327881,627.7079468,660.0344849,730.9263916,678.7955322,660.0484009,623.4331055,655.0266113,629.7631226,683.555542,654.0620117,629.3763428,593.836792,757.6814575,818.1671143,515.6098633,535.0219727,0,819.4672852,843.9301147,795.0177612,784.0517578,816.5579224,809.4147949,870.1276245,854.2681885,846.4157715,868.1813965,865.2774658,857.3232422,844.3675537,848.8239746,807.206543,776.8491211,915.6804199,882.7536621,758.4189453,773.6627197
0,0.363984615,0.336253494,0.498375624,0.562060177,0.484110385,0.441456288,0.32684955,0.449952602,0.559643686,0.5333938,0.40675509,0.400667727,0.467024416,0.478339702,0.428936422,0.440929204,0.402211875,0.350796491,0.526392341,0.517376542,0,1138.880005,1227.143799,1422.083618,1443.823853,1166.707031,1096.940918,1304.492676,1206.884033,1364.898071,1153.432129,1250.035645,1272.870605,1352.072266,1301.77124,1243.842041,1242.611084,1303.21814,1396.026855,1474.021729,1415.767456,0,665.2800293,681.9824219,622.3319092,557.3879395,671.4140625,718.5570068,729.7598267,655.454834,605.6951904,622.5582275,656.1531372,668.9400635,698.1452026,658.7054443,642.4628296,590.0148926,760.968811,778.3831787,607.222168,514.7138672,0,830.4326172,846.6282959,809.4778442,809.8300781,831.5310669,832.840271,871.4445801,837.6049805,837.6860352,841.3881836,862.8361816,859.8833008,857.9171753,852.0219727,812.3959351,789.1101074,946.1532593,922.6016235,844.9189453,795.5553589
0,0.397625148,0.373849362,0.565686584,0.542763531,0.500258505,0.486306906,0.32183665,0.328680158,0.500419855,0.51342082,0.457542598,0.44244042,0.401629448,0.406481355,0.485872209,0.456358671,0.437231094,0.446866661,0.524792552,0.421039253,0,1110.693115,1173.884033,1430.528687,1354.631592,987.5111694,971.2305298,1171.541504,1190.610962,1302.83252,1115.54248,1229.293213,1261.240356,1180.324097,1201.48999,1132.206299,1092.789917,1206.485962,1383.877197,1312.012573,1258.22998,0,616.2797852,656.4542236,576.7895508,551.6638184,739.223877,754.3900146,723.9692383,687.1374512,569.9306641,723.4047852,649.97229,642.4129639,669.2459717,692.680481,614.1578979,626.4755859,830.364502,845.4287109,614.9081421,590.7458496,0,785.4395142,820.4398193,790.2289429,784.0567017,828.1154785,826.418335,869.762207,865.1450806,817.3601685,851.8566284,853.7814331,848.9450073,831.9871826,854.6195679,767.4058838,772.1525269,977.7912598,936.2078857,792.3374634,791.7765503
0,0.343253314,0.332769811,0.48240006,0.50414592,0.396182895,0.398724645,0.328520834,0.374694705,0.334394336,0.508400917,0.385121524,0.377191931,0.367542028,0.410384655,0.410434514,0.458129406,0.350990534,0.399282157,0.407344341,0.400538474,0,1109.482056,1412.002197,1446.345215,1235.667358,1250.063354,1433.132446,1269.707031,1410.317627,1210.447998,1424.436646,1216.777466,1262.301758,1212.205933,1307.503784,1204.393066,1163.617188,1177.583984,1207.953369,1454.459229,1529.090576,0,828.2483521,970.7012329,874.1729126,1041.513428,731.8638916,756.2435303,816.7305908,1055.43811,855.6107178,848.623291,889.3928223,849.8798828,858.993042,852.6998901,817.1741333,772.6124268,893.6895142,869.831604,951.4020996,771.0249023,0,887.2355957,1049.844971,889.687439,1024.946411,830.3161011,1083.637451,1091.469238,1397.411987,974.5651855,965.3136597,977.1279297,913.2749023,946.8746948,914.2089844,893.1466675,846.4182129,991.4293213,965.4282227,984.5792847,857.3894043
0,0.3661623,0.354067028,0.536817551,0.579995275,0.581902623,0.552191138,0.372135371,0.371984124,0.495045096,0.550316036,0.462326348,0.457696974,0.46200636,0.46710223,0.489016116,0.486704051,0.407625198,0.417928666,0.419404566,0.432605982,0,1112.635254,1091.407471,1414.120361,1402.928711,1143.989502,1071.490479,1481.264282,1228.383789,1197.919922,1136.728516,1217.286743,1215.858887,1260.73584,1266.586792,1183.607056,1153.62085,1312.028809,1301.510498,1622.291016,1371.039551,0,645.1623535,649.2365723,556.3728027,541.0709229,611.5862427,658.3463135,717.4830322,673.2741699,590.7824097,630.1066284,617.7514038,603.3327026,643.7146606,625.248291,588.1864014,552.0727539,811.7910156,809.1088867,572.7702637,534.0848389,0,789.9326172,797.5808105,788.947937,792.329895,809.6619263,794.8872681,850.3564453,848.3516846,817.8920898,830.8067017,835.6419678,819.6175537,818.7178955,809.0372314,777.8340454,760.3565674,971.9879761,939.3239136,735.5899658,757.1051636
